SequenceID	Realm (-viria)	Realm_score	Subrealm (-vira)	Subrealm_score	Kingdom (-virae)	Kingdom_score	Subkingdom (-virites)	Subkingdom_score	Phylum (-viricota)	Phylum_score	Subphylum (-viricotina)	Subphylum_score	Class (-viricetes)	Class_score	Subclass (-viricetidae)	Subclass_score	Order (-virales)	Order_score	Suborder (-virineae)	Suborder_score	Family (-viridae)	Family_score	Subfamily (-virinae)	Subfamily_score	Genus (-virus)	Genus_score	Subgenus (-virus)	Subgenus_score	Species (binomial)	Species_score
ICTVTaxoChallenge_100328	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cossaviricota	0.999999	N/A	N/A	Quintoviricetes	0.999999	N/A	N/A	Piccovirales	0.999999	N/A	N/A	Parvoviridae	0.999999	Densovirinae	0.999999	Muscodensovirus	0.999999	N/A	N/A	Muscodensovirus dipteran1	0.999999
ICTVTaxoChallenge_100329	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Picornaviridae	0.999999	Ensavirinae	0.999999	Enterovirus	0.999999	N/A	N/A	Enterovirus alpharhino	0.999999
ICTVTaxoChallenge_100338	Varidnaviria	0.501	N/A	N/A	Bamfordvirae	0.501	N/A	N/A	Nucleocytoviricota	0.501	N/A	N/A	Pokkesviricetes	0.501	N/A	N/A	Chitovirales	0.501	N/A	N/A	Poxviridae	0.501	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100345	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pospiviroidae	0.999999	N/A	N/A	Pospiviroid	0.999999	N/A	N/A	Pospiviroid parvicapsici	0.999999
ICTVTaxoChallenge_100383	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cossaviricota	0.999999	N/A	N/A	Papovaviricetes	0.999999	N/A	N/A	Sepolyvirales	0.999999	N/A	N/A	Polyomaviridae	0.999999	N/A	N/A	Gammapolyomavirus	0.999999	N/A	N/A	Gammapolyomavirus secanaria	0.999999
ICTVTaxoChallenge_100384	Duplodnaviria	1.0	N/A	N/A	Heunggongvirae	1.0	N/A	N/A	Uroviricota	1.0	N/A	N/A	Caudoviricetes	1.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100387	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Arfiviricetes	0.999999	N/A	N/A	Mulpavirales	0.999999	N/A	N/A	Nanoviridae	0.999999	N/A	N/A	Nanovirus	0.999999	N/A	N/A	Nanovirus viciacraccae	0.999999
ICTVTaxoChallenge_100394	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Haploviricotina	0.999999	Monjiviricetes	0.999999	N/A	N/A	Mononegavirales	0.999999	N/A	N/A	Rhabdoviridae	0.999999	Alpharhabdovirinae	0.999999	Tibrovirus	0.999999	N/A	N/A	Tibrovirus coastal	0.999999
ICTVTaxoChallenge_100445	Duplodnaviria	0.576	N/A	N/A	Heunggongvirae	0.576	N/A	N/A	Uroviricota	0.576	N/A	N/A	Caudoviricetes	0.576	N/A	N/A	N/A	N/A	N/A	N/A	Casjensviridae	0.576	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100459	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Haploviricotina	0.999999	Monjiviricetes	0.999999	N/A	N/A	Mononegavirales	0.999999	N/A	N/A	Rhabdoviridae	0.999999	Alpharhabdovirinae	0.999999	Vesiculovirus	0.999999	N/A	N/A	Vesiculovirus morreton	0.999999
ICTVTaxoChallenge_100461	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Duplornaviricota	0.999999	N/A	N/A	Resentoviricetes	0.999999	N/A	N/A	Reovirales	0.999999	N/A	N/A	Spinareoviridae	0.999999	N/A	N/A	Orthoreovirus	0.999999	N/A	N/A	Orthoreovirus piscis	0.999999
ICTVTaxoChallenge_10048	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Straboviridae	0.999999	N/A	N/A	Gualtarvirus	0.999999	N/A	N/A	Gualtarvirus mp1	0.999999
ICTVTaxoChallenge_100493	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Hareavirales	0.999999	N/A	N/A	Phenuiviridae	0.999999	N/A	N/A	Phlebovirus	0.999999	N/A	N/A	Phlebovirus florisense	0.999999
ICTVTaxoChallenge_100502	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100508	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Kyanoviridae	0.999999	N/A	N/A	Ahtivirus	0.999999	N/A	N/A	Ahtivirus sagseatwo	0.999999
ICTVTaxoChallenge_100570	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Fuselloviridae	0.857	N/A	N/A	Alphafusellovirus	0.857	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100573	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Lenarviricota	0.999999	N/A	N/A	Leviviricetes	0.999999	N/A	N/A	Timlovirales	0.999999	N/A	N/A	Steitzviridae	0.999999	N/A	N/A	Garnievirus	0.999999	N/A	N/A	Garnievirus chorocola	0.999999
ICTVTaxoChallenge_100583	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cossaviricota	0.999999	N/A	N/A	Papovaviricetes	0.999999	N/A	N/A	Zurhausenvirales	0.999999	N/A	N/A	Papillomaviridae	0.999999	Firstpapillomavirinae	0.999999	Alphapapillomavirus	0.999999	N/A	N/A	Alphapapillomavirus 9	0.999999
ICTVTaxoChallenge_100588	Duplodnaviria	0.5044	N/A	N/A	Heunggongvirae	0.5044	N/A	N/A	Uroviricota	0.5044	N/A	N/A	Caudoviricetes	0.5044	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Korravirus	0.5044	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100604	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100609	Varidnaviria	0.695	N/A	N/A	Bamfordvirae	0.695	N/A	N/A	Nucleocytoviricota	0.695	N/A	N/A	Megaviricetes	0.695	N/A	N/A	Imitervirales	0.695	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100612	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Tolecusatellitidae	0.999999	N/A	N/A	Betasatellite	0.999999	N/A	N/A	Betasatellite solanichinaense	0.999999
ICTVTaxoChallenge_100629	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Lenarviricota	0.999999	N/A	N/A	Leviviricetes	0.999999	N/A	N/A	Timlovirales	0.999999	N/A	N/A	Steitzviridae	0.999999	N/A	N/A	Hodnevirus	0.999999	N/A	N/A	Hodnevirus monoagrivicinum	0.999999
ICTVTaxoChallenge_100631	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Elliovirales	0.999999	N/A	N/A	Peribunyaviridae	0.999999	N/A	N/A	Orthobunyavirus	0.999999	N/A	N/A	Orthobunyavirus guaratubaense	0.999999
ICTVTaxoChallenge_100633	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Rhodogtaviriformidae	0.999999	N/A	N/A	Dinogtaviriform	0.999999	N/A	N/A	Dinogtaviriform tomaschi	0.999999
ICTVTaxoChallenge_100640	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Cequinquevirus	0.999999	N/A	N/A	Cequinquevirus LLKu	0.999999
ICTVTaxoChallenge_100644	Riboviria	0.4807	N/A	N/A	Orthornavirae	0.4807	N/A	N/A	Negarnaviricota	0.4807	Polyploviricotina	0.4807	Bunyaviricetes	0.4807	N/A	N/A	Elliovirales	0.4807	N/A	N/A	Peribunyaviridae	0.4807	N/A	N/A	Orthobunyavirus	0.4807	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100651	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100659	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100694	Duplodnaviria	0.491	N/A	N/A	Heunggongvirae	0.491	N/A	N/A	Uroviricota	0.491	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100710	Duplodnaviria	0.813	N/A	N/A	Heunggongvirae	0.813	N/A	N/A	Uroviricota	0.813	N/A	N/A	Caudoviricetes	0.813	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_10072	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100728	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Duplornaviricota	0.999999	N/A	N/A	Resentoviricetes	0.999999	N/A	N/A	Reovirales	0.999999	N/A	N/A	Spinareoviridae	0.999999	N/A	N/A	Fijivirus	0.999999	N/A	N/A	Fijivirus alporyzae	0.999999
ICTVTaxoChallenge_100749	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Lederbergvirus	0.999999	N/A	N/A	Lederbergvirus Sf6	0.999999
ICTVTaxoChallenge_100751	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Hareavirales	0.999999	N/A	N/A	Phenuiviridae	0.999999	N/A	N/A	Phlebovirus	0.999999	N/A	N/A	Phlebovirus echarateense	0.999999
ICTVTaxoChallenge_100796	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Geminiviridae	0.999999	N/A	N/A	Begomovirus	0.999999	N/A	N/A	Begomovirus ipomoeae	0.999999
ICTVTaxoChallenge_100849	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100860	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Lenarviricota	0.999999	N/A	N/A	Howeltoviricetes	0.999999	N/A	N/A	Cryppavirales	0.999999	N/A	N/A	Mitoviridae	0.999999	N/A	N/A	Unuamitovirus	0.999999	N/A	N/A	Unuamitovirus fuci2	0.999999
ICTVTaxoChallenge_100861	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Geminiviridae	0.999999	N/A	N/A	Begomovirus	0.999999	N/A	N/A	Begomovirus puerariae	0.999999
ICTVTaxoChallenge_100884	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	Vilmaviridae	0.999999	Lclasvirinae	0.999999	Faithunavirus	0.999999	N/A	N/A	Faithunavirus guuelaD	0.999999
ICTVTaxoChallenge_100895	Monodnaviria	0.4995	N/A	N/A	Shotokuvirae	0.4995	N/A	N/A	Cressdnaviricota	0.4995	N/A	N/A	Repensiviricetes	0.4995	N/A	N/A	Geplafuvirales	0.4995	N/A	N/A	Genomoviridae	0.4995	N/A	N/A	Gemygorvirus	0.4995	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100910	Varidnaviria	0.502	N/A	N/A	Bamfordvirae	0.502	N/A	N/A	Nucleocytoviricota	0.502	N/A	N/A	Megaviricetes	0.502	N/A	N/A	Imitervirales	0.502	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100912	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Mudcatvirus	0.999999	N/A	N/A	Mudcatvirus xenomorph	0.999999
ICTVTaxoChallenge_100926	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Haploviricotina	0.999999	Monjiviricetes	0.999999	N/A	N/A	Mononegavirales	0.999999	N/A	N/A	Rhabdoviridae	0.999999	Deltarhabdovirinae	0.999999	Alphahymrhavirus	0.999999	N/A	N/A	Alphahymrhavirus hirtum	0.999999
ICTVTaxoChallenge_100945	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Geminiviridae	0.999999	N/A	N/A	Begomovirus	0.999999	N/A	N/A	Begomovirus passifloraseveri	0.999999
ICTVTaxoChallenge_100946	Monodnaviria	0.999999	N/A	N/A	Shotokuvirae	0.999999	N/A	N/A	Cressdnaviricota	0.999999	N/A	N/A	Repensiviricetes	0.999999	N/A	N/A	Geplafuvirales	0.999999	N/A	N/A	Geminiviridae	0.999999	N/A	N/A	Begomovirus	0.999999	N/A	N/A	Begomovirus rhynchosiaurei	0.999999
ICTVTaxoChallenge_100968	Monodnaviria	0.5	N/A	N/A	Shotokuvirae	0.5	N/A	N/A	Cressdnaviricota	0.5	N/A	N/A	Arfiviricetes	0.5	N/A	N/A	Rivendellvirales	0.5	N/A	N/A	Naryaviridae	0.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_100975	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Stelpaviricetes	0.999999	N/A	N/A	Patatavirales	0.999999	N/A	N/A	Potyviridae	0.999999	N/A	N/A	Potyvirus	0.999999	N/A	N/A	Potyvirus cebatatae	0.999999
ICTVTaxoChallenge_100976	Duplodnaviria	0.5967	N/A	N/A	Heunggongvirae	0.5967	N/A	N/A	Uroviricota	0.5967	N/A	N/A	Caudoviricetes	0.5967	N/A	N/A	N/A	N/A	N/A	N/A	Aliceevansviridae	0.5967	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_101	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Lenarviricota	0.999999	N/A	N/A	Leviviricetes	0.999999	N/A	N/A	Norzivirales	0.999999	N/A	N/A	Fiersviridae	0.999999	N/A	N/A	Yahnavirus	0.999999	N/A	N/A	Yahnavirus asienecus	0.999999
ICTVTaxoChallenge_10102	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Haploviricotina	0.999999	Monjiviricetes	0.999999	N/A	N/A	Mononegavirales	0.999999	N/A	N/A	Rhabdoviridae	0.999999	Betarhabdovirinae	0.999999	Cytorhabdovirus	0.999999	N/A	N/A	Cytorhabdovirus broussonetiae	0.999999
ICTVTaxoChallenge_101034	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Pisuviricota	0.999999	N/A	N/A	Pisoniviricetes	0.999999	N/A	N/A	Picornavirales	0.999999	N/A	N/A	Picornaviridae	0.999999	Heptrevirinae	0.999999	Hepatovirus	0.999999	N/A	N/A	Hepatovirus gafrisheta	0.999999
ICTVTaxoChallenge_10105	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Polyploviricotina	0.999999	Bunyaviricetes	0.999999	N/A	N/A	Elliovirales	0.999999	N/A	N/A	Hantaviridae	0.999999	Mammantavirinae	0.999999	Mobatvirus	0.999999	N/A	N/A	Mobatvirus quezonense	0.999999
ICTVTaxoChallenge_101050	Riboviria	0.7334	N/A	N/A	Orthornavirae	0.7334	N/A	N/A	Negarnaviricota	0.7334	Haploviricotina	0.7334	Monjiviricetes	0.7334	N/A	N/A	Mononegavirales	0.7334	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ICTVTaxoChallenge_101053	Duplodnaviria	0.999999	N/A	N/A	Heunggongvirae	0.999999	N/A	N/A	Uroviricota	0.999999	N/A	N/A	Caudoviricetes	0.999999	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Nymbaxtervirinae	0.999999	Nymphadoravirus	0.999999	N/A	N/A	Nymphadoravirus maridalia	0.999999
ICTVTaxoChallenge_101077	Riboviria	0.999999	N/A	N/A	Orthornavirae	0.999999	N/A	N/A	Negarnaviricota	0.999999	Haploviricotina	0.999999	Monjiviricetes	0.999999	N/A	N/A	Jingchuvirales	0.999999	N/A	N/A	Aliusviridae	0.999999	N/A	N/A	Ollusvirus	0.999999	N/A	N/A	Ollusvirus oropsyllae	0.999999
